index,Unnamed: 0,primaryKey,season,seasonType,gameId,gameDate,period,secondsElapsed,team1Score,team2Score,offenseTeamId1,offensePlayer1Id,offensePlayer2Id,offensePlayer3Id,offensePlayer4Id,offensePlayer5Id,defenseTeamId2,defensePlayer1Id,defensePlayer2Id,defensePlayer3Id,defensePlayer4Id,defensePlayer5Id,points,expectedPoints,defensiveRebounds,offensiveRebounds,opponentDefensiveRebounds,opponentOffensiveRebounds,offensiveFouls,defensiveFouls,turnovers,fieldGoalAttempts,fieldGoals,threePtAttempts,threePtMade,freeThrowAttempts,freeThrowsMade,possessions,seconds,dt,adjustedPoints
26749,26749,739_0022100042_1610612754,2021-22,Regular Season,22100042,1635134400000,4,2847,,,1610612754,203200,1627734,1627763,1629048,1630537,1610612749,203114,203507,203648,1628960,1629670,2.0,2.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,9,2021-10-29T13:59:40.216,2.0
26751,26751,739_0022100053_1610612759,2021-22,Regular Season,22100053,1635220800000,5,2969,,,1610612759,1627749,1627751,1628401,1628966,1630170,1610612747,2546,201566,203076,203145,1628370,0.0,1.0731082327216592,0,0,1,0,0,0,0,1,0,1,0,0,0,1,12,2021-10-29T13:59:40.216,0.0
26752,26752,73_0022100006_1610612761,2021-22,Regular Season,22100006,1634702400000,1,395,,,1610612761,203920,1627832,1628384,1629018,1630567,1610612764,203078,203915,1626149,1628398,1630166,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,18,2021-10-29T13:59:40.216,0.0
26755,26755,73_0022100008_1610612750,2021-22,Regular Season,22100008,1634702400000,1,295,9.0,11.0,1610612750,1626156,1626157,1629006,1630162,1630183,1610612745,201569,1628464,1629645,1630224,1630256,2.0,2.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,13,2021-10-29T13:59:40.216,2.0
26756,26756,73_0022100015_1610612748,2021-22,Regular Season,22100015,1634788800000,1,286,3.0,13.0,1610612748,200768,200782,202710,1628389,1629130,1610612749,203114,203507,1626192,1628960,1629620,2.0,2.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,6,2021-10-29T13:59:40.216,2.0
26758,26758,73_0022100027_1610612737,2021-22,Regular Season,22100027,1634961600000,1,302,,,1610612737,203991,1628381,1628989,1629027,1629631,1610612739,201937,1628374,1628386,1630171,1630596,0.0,1.548,0,0,1,0,0,0,0,0,0,0,0,2,0,1,11,2021-10-29T13:59:40.216,0.0
26761,26761,73_0022100028_1610612754,2021-22,Regular Season,22100028,1634961600000,1,426,,,1610612754,203200,1627734,1627763,1628470,1630537,1610612748,200782,202710,1628389,1629130,1629216,0.0,0.0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,14,2021-10-29T13:59:40.216,0.0
26763,26763,73_0022100029_1610612761,2021-22,Regular Season,22100029,1634961600000,1,423,7.0,19.0,1610612761,1627832,1628384,1629018,1630173,1630567,1610612742,203501,1626161,1627827,1628973,1629029,3.0,1.1756038783131872,0,0,0,0,0,0,0,1,1,1,1,0,0,1,18,2021-10-29T13:59:40.216,3.0
26765,26765,73_0022100033_1610612757,2021-22,Regular Season,22100033,1634961600000,1,427,15.0,19.0,1610612757,203081,203496,203994,1629014,1629642,1610612756,101108,203109,1626164,1628969,1629028,3.0,1.1928992832833818,0,0,0,0,0,0,0,1,1,1,1,0,0,1,8,2021-10-29T13:59:40.216,3.0
26767,26767,73_0022100037_1610612745,2021-22,Regular Season,22100037,1635048000000,1,398,,,1610612745,201569,1626174,1629645,1630256,1630578,1610612738,203471,203935,1626196,1629057,1629684,0.0,1.0646537103934537,0,0,1,0,0,0,0,1,0,1,0,0,0,1,9,2021-10-29T13:59:40.216,0.0
