,playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,AdjustedPossessions
325,203496,Robert Covington,0.12,195.0,-0.58,405.0,0.7,55.0,8
326,203497,Rudy Gobert,1.01,51.0,0.48,94.0,0.53,78.0,8
327,203500,Steven Adams,0.41,125.0,-0.13,299.0,0.54,77.0,8
328,203501,Tim Hardaway Jr.,0.29,157.0,-0.15,303.0,0.43,98.0,8
329,203503,Tony Snell,-0.62,374.0,-0.4,367.0,-0.22,316.0,8
330,203504,Trey Burke,0.69,89.0,0.26,146.0,0.43,99.0,8
331,203507,Giannis Antetokounmpo,3.36,1.0,1.91,3.0,1.45,10.0,8
332,203516,James Ennis III,0.89,68.0,-0.5,384.0,1.39,16.0,8
333,203521,Matthew Dellavedova,-0.33,327.0,0.16,172.0,-0.49,375.0,8
334,203524,Solomon Hill,0.5,114.0,-0.51,386.0,1.0,29.0,8
335,203526,Raul Neto,-0.31,320.0,0.51,82.0,-0.82,428.0,8
336,203552,Seth Curry,1.02,49.0,0.04,224.0,0.97,31.0,8
337,203584,Troy Daniels,-0.32,324.0,-0.02,253.0,-0.3,338.0,8
338,203585,Rodney McGruder,0.4,126.0,0.0,239.0,0.4,108.0,8
339,203648,Thanasis Antetokounmpo,-0.25,308.0,-0.18,315.0,-0.06,263.0,8
340,203705,Josh Magette,-0.05,251.0,0.05,223.0,-0.09,274.0,8
341,203894,Shabazz Napier,-0.24,307.0,0.88,31.0,-1.12,451.0,8
342,203895,Jordan McRae,0.93,60.0,0.5,86.0,0.43,97.0,8
343,203897,Zach LaVine,-1.66,458.0,-1.0,450.0,-0.67,405.0,8
344,203901,Elfrid Payton,0.87,71.0,0.59,69.0,0.28,137.0,8
345,203903,Jordan Clarkson,-0.55,362.0,-0.88,438.0,0.33,124.0,8
346,203914,Gary Harris,0.83,74.0,0.31,132.0,0.52,80.0,8
347,203915,Spencer Dinwiddie,1.24,32.0,-0.15,307.0,1.39,15.0,8
348,203918,Rodney Hood,-0.38,335.0,-0.81,429.0,0.43,100.0,8
349,203920,Khem Birch,-1.38,446.0,-0.01,243.0,-1.37,469.0,8
350,203922,Glenn Robinson III,-1.77,463.0,-1.02,451.0,-0.75,420.0,8
351,203924,Jerami Grant,-1.24,436.0,-0.53,390.0,-0.72,413.0,8
352,203925,Joe Harris,0.53,107.0,0.12,193.0,0.41,105.0,8
353,203926,Doug McDermott,0.3,150.0,0.73,51.0,-0.44,365.0,8
354,203932,Aaron Gordon,-0.55,363.0,-0.37,359.0,-0.18,307.0,8
355,203933,T.J. Warren,0.43,121.0,0.46,100.0,-0.03,249.0,8
356,203935,Marcus Smart,-0.28,314.0,0.29,134.0,-0.57,389.0,8
357,203937,Kyle Anderson,-1.38,448.0,-0.88,436.0,-0.5,377.0,8
358,203939,Dwight Powell,1.0,52.0,-0.3,343.0,1.3,18.0,8
359,203943,Noah Vonleh,-0.41,339.0,0.12,189.0,-0.54,382.0,8
360,203944,Julius Randle,-0.51,356.0,0.47,98.0,-0.98,441.0,8
361,203952,Andrew Wiggins,0.61,93.0,-0.23,332.0,0.84,48.0,8
362,203953,Jabari Parker,0.31,149.0,-1.1,456.0,1.4,13.0,8
363,203954,Joel Embiid,0.52,110.0,1.19,12.0,-0.67,407.0,8
364,203957,Dante Exum,-0.19,299.0,0.5,84.0,-0.7,409.0,8
365,203960,JaKarr Sampson,-0.02,239.0,0.23,155.0,-0.24,323.0,8
366,203967,Dario Saric,-0.06,256.0,0.26,147.0,-0.32,341.0,8
367,203991,Clint Capela,0.45,119.0,0.27,142.0,0.18,167.0,8
368,203992,Bogdan Bogdanovic,-0.72,391.0,-0.3,342.0,-0.43,362.0,8
369,203998,Bruno Caboclo,0.39,130.0,0.39,112.0,0.0,235.0,8
370,203999,Nikola Jokic,1.12,40.0,0.43,107.0,0.69,57.0,8
371,204001,Kristaps Porzingis,0.03,220.0,-0.45,372.0,0.48,88.0,8
