PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,SEASON,SEASON_TYPE
1628373,"Frank Ntilikina",1610612752,NYK,21,30,8,22,0.267,682.245,65,171,0.38,25,75,0.333,16,20,0.8,11,48,59,86,37,35,11,7,80,26,171,-101,471.8,0,0,2019-20,"Regular Season"
1628374,"Lauri Markkanen",1610612741,CHI,22,32,12,20,0.375,973.545,156,380,0.411,64,193,0.332,93,113,0.823,34,182,216,55,58,28,20,27,63,93,469,-29,896.7,3,0,2019-20,"Regular Season"
1628378,"Donovan Mitchell",1610612762,UTA,23,31,19,12,0.613,1085.91,289,636,0.454,67,191,0.351,133,160,0.831,26,115,141,127,76,36,9,25,73,126,778,55,1196.7,1,0,2019-20,"Regular Season"
1628379,"Luke Kennard",1610612765,DET,23,28,11,17,0.393,921.923,151,342,0.442,73,183,0.399,67,75,0.893,9,89,98,115,43,12,6,13,65,54,442,-22,743.1,0,0,2019-20,"Regular Season"
1628380,"Zach Collins",1610612757,POR,22,3,2,1,0.667,86.3983,9,19,0.474,3,7,0.429,6,6,1,4,8,12,6,6,0,2,1,11,12,27,19,50.4,0,0,2019-20,"Regular Season"
1628381,"John Collins",1610612737,ATL,22,7,2,5,0.286,221.698,48,95,0.505,12,30,0.4,13,18,0.722,13,57,70,10,9,7,15,11,26,18,121,-33,277,2,0,2019-20,"Regular Season"
1628382,"Justin Jackson",1610612742,DAL,24,26,18,8,0.692,371.885,59,134,0.44,24,66,0.364,14,19,0.737,10,51,61,14,4,5,2,8,30,16,156,47,267.2,0,0,2019-20,"Regular Season"
1628383,"Justin Patton",1610612760,OKC,22,2,1,1,0.5,9.48333,1,3,0.333,0,1,0,0,0,0,0,2,2,0,1,0,0,0,4,0,2,-4,3.4,0,0,2019-20,"Regular Season"
1628384,"OG Anunoby",1610612761,TOR,22,30,20,10,0.667,905.642,134,268,0.5,41,113,0.363,30,48,0.625,31,143,174,49,38,34,26,27,74,44,339,116,763.3,3,0,2019-20,"Regular Season"
1628385,"Harry Giles III",1610612758,SAC,21,7,3,4,0.429,51.6667,11,25,0.44,0,0,0,2,2,1,3,4,7,5,5,2,3,1,13,5,24,-26,49.9,0,0,2019-20,"Regular Season"
1628386,"Jarrett Allen",1610612751,BKN,21,30,16,14,0.533,796.393,141,215,0.656,0,2,0,79,128,0.617,108,204,312,41,36,22,41,20,75,114,361,64,949.9,15,0,2019-20,"Regular Season"
1628388,"TJ Leaf",1610612754,IND,22,19,12,7,0.632,168.103,26,61,0.426,5,13,0.385,6,10,0.6,20,38,58,6,6,7,3,5,15,9,63,4,165.6,1,0,2019-20,"Regular Season"
